api,num
AdbCreateConnectDevice,218
AdbCreateInterfaceByName,219
AdbCreateServer,220
AdbEnumInterfaces,221
AdbExeAdbShell,222
AdbExecAdbCommand,223
AdbGetEndpointInformation,224
AdbGetInterfaceName,225
AdbGetSerialNumber,226
AdbGetUsbDeviceDescriptor,227
AdbGetUsbInterfaceDescriptor,228
AdbNextInterface,229
AdbOpenDefaultBulkReadEndpoint,230
AdbOpenDefaultBulkWriteEndpoint,231
AdbReadEndpointSync,232
AdbWriteEndpointSync,233
AddAccessAllowedAce,234
AddAccessAllowedAceEx,235
AddAccessAllowedObjectAce,236
AddAccessDeniedAce,237
AddAccessDeniedAceEx,238
AddAccessDeniedObjectAce,239
AddAce,240
AddAtomA,241
AddAtomW,242
AddAuditAccessAce,243
AddAuditAccessAceEx,244
AddAuditAccessObjectAce,245
AddClusterResourceNode,246
AddConsoleAliasA,247
AddConsoleAliasW,248
AddCredentialsA,249
AddDllDirectory,250
AddDynamicStruct,251
AddEntryBootFileGpt,252
AddEntryBootFileMbr,253
AddExtensionProgId,254
AddFileToZip,255
AddFontMemResourceEx,256
AddFontResourceA,257
AddFontResourceExA,258
AddFontResourceExW,259
AddFontResourceTracking,260
AddFontResourceW,261
AddFormA,262
AddFormW,263
AddIPAddress,264
AddISNSServerW,265
AddIScsiConnectionW,266
AddIScsiSendTargetPortalW,267
AddIScsiStaticTargetW,268
AddJobA,269
AddJobW,270
AddKeyValueSS,271
AddLayeredRef,272
AddLocalAlternateComputerNameA,273
AddLocalAlternateComputerNameW,274
AddMandatoryAce,275
AddMonitorA,276
AddMonitorW,277
AddPersistentIScsiDeviceW,278
AddPersonalTrustDBPages,279
AddPortA,280
AddPortExA,281
AddPortExW,282
AddPortW,283
AddPrintProcessorA,284
AddPrintProcessorW,285
AddPrintProvidorA,286
AddPrintProvidorW,287
AddPrinterA,288
AddPrinterConnectionA,289
AddPrinterConnectionW,290
AddPrinterDriverA,291
AddPrinterDriverExA,292
AddPrinterDriverExW,293
AddPrinterDriverW,294
AddPrinterW,295
AddProcess,296
AddRefActCtx,297
AddSIDToBoundaryDescriptor,298
AddSecurityPackageA,299
AddSl,300
AddUsersToEncryptedFile,301
AddUsersToEncryptedFileEx,302
AddVectoredContinueHandler,303
AddVectoredExceptionHandler,304
AdjustTokenGroups,305
AdjustTokenPrivileges,306
AdjustWindowRect,307
AdjustWindowRectEx,308
AdjustWindowRectExForDpi,309
AdsTypeFreeAdsObjects,310
AdsTypeToLdapTypeCopyConstruct,311
AdsTypeToLdapTypeCopyDNWithBinary,312
AdsTypeToLdapTypeCopyDNWithString,313
AdsTypeToLdapTypeCopyGeneralizedTime,314
AdsTypeToLdapTypeCopyTime,315
AdsTypeToPropVariant,316
AdtBackupPolicy,317
AdtClearPolicy,318
AdtEnableSinglePrivilege,319
AdtGetOption,320
AdtGetPerUserPolicy,321
AdtGetSystemPolicy,322
AdtListCategories,323
AdtListSubCategories,324
AdtLoadStringEx,325
AdtParseAuditOptionName,326
AdtParseGuidOrNameArray,327
AdtRemoveAllUsers,328
AdtRemoveBasePolicy,329
AdtRestorePolicy,330
AdtSetOption,331
AdtSetPerUserPolicy,332
AdtSetSystemPolicy,333
AdvancedDocumentPropertiesA,334
AdvancedDocumentPropertiesW,335
AdvancedSetupDialog,336
AgentExists,337
AlignRects,338
AllocADsMem,339
AllocADsStr,340
AllocConsole,341
AllocConvertMultiSZNameToAEx,342
AllocLocalData,343
AllocateAndGetTcpExTableFromStack,344
AllocateAndGetUdpExTableFromStack,345
AllocateAndInitializeSid,346
AllocateAttributes,347
AllocateLocallyUniqueId,348
AllocateUserPhysicalPages,349
AllowForegroundActivation,350
AllowSetForegroundWindow,351
AlpcGetMessageAttribute,352
AlpcInitializeMessageAttribute,353
AlphaBlend,354
AmpFactorToDB,355
AngleArc,356
AnimatePalette,357
AnimateWindow,358
AnyLinkedFonts,359
AnyPopup,360
ApiSetQueryApiSetPresence,361
AppCleanup,362
AppIDEncodeAttributeString,363
AppIDFreeAttributeString,364
AppPolicyGetMediaFoundationCodecLoading,365
AppendMenuA,366
AppendMenuW,367
ApphelpCheckIME,368
ApphelpCheckRunApp,369
ApphelpQueryModuleData,370
ApphelpShowDialog,371
ApplicationRecoveryFinished,372
ApplicationRecoveryInProgress,373
ApplyControlToken,374
ApplyPatchToFileExW,375
ApplyPatchToFileW,376
Arc,377
ArcDir,378
ArcMemAlloc,379
ArcMemFree,380
ArcMemLock,381
ArcMemUnlock,382
ArcTo,383
AreAllAccessesGranted,384
AreAnyAccessesGranted,385
AreFileApisANSI,386
ArrangeIconicWindows,387
AsCleanUp,388
AsFileInfo,389
AsGetMsg,390
AsScanBas,391
AsScanMrc,392
AsScanSfc,393
AsScanStc,394
AsSetUserInterface,395
AspnetLoadResourceDLL,396
AsrAddSifEntryW,397
AssertMsgImplementation,398
AssignProcessToJobObject,399
AssocCreate,400
AssocCreateForClasses,401
AssocGetPerceivedType,402
AssocIsDangerous,403
AssocQueryKeyA,404
AssocQueryKeyW,405
AssocQueryStringA,406
AssocQueryStringByKeyA,407
AssocQueryStringByKeyW,408
AssocQueryStringW,409
AssociateColorProfileWithDeviceA,410
AssociateColorProfileWithDeviceW,411
AsyncInstallDistributionUnit,412
AtlAxGetHost,413
AtlAxWinInit,414
AtlLoadTypeLib,415
AtlMarshalPtrInProc,416
AttachConsole,417
AttachHandleToThreadPool,418
AttachThreadInput,419
AttachVirtualDisk,420
AuditEnumeratePerUserPolicy,421
